Title,Url,Description,Publish At
"Here We Go Again – Series C, Another Preemptive Round!",https://salt.security/blog/here-we-go-again-another-preemptive-round,"We're announcing our $70 million Series C funding, with yet another set of investors ready to extend our leadership and market velocity once more.","Wed, 26 May 2021 11:11:00 GMT"
And the Award Goes to …. Salt Security! (Again!),https://salt.security/blog/and-the-award-goes-to-salt-security-again,"Today’s accolades come from Cyber Defense Magazine, as we take home awards for “Most Innovative in API Security” and top billing in the “Best Cybersecurity Startup” category!","Mon, 17 May 2021 16:00:00 GMT"
Extending our Lead in API Security – Augmenting our “Shift Left” Features,https://salt.security/blog/extending-our-lead-in-api-security-augmenting-our-shift-left-features,"Salt is uniquely focused on securing APIs across their full lifecycle – we believe organizations need to both “shift left” and “protect right,” as in RIGHT NOW.","Wed, 12 May 2021 12:00:00 GMT"
What Happened in the Experian API Leak?,https://salt.security/blog/what-happened-in-the-experian-api-leak,"While it is technically true that Experian’s systems weren’t directly breached, private data was most certainly leaked","Wed, 05 May 2021 21:04:00 GMT"
How APIs Streamlined App Dev for DeinDeal – and Broke Security,https://salt.security/blog/how-apis-streamlined-app-dev-for-deindeal-and-broke-security,"We’re thrilled to announce that Salt is enabling DeinDeal, the Swiss e-commerce leader, to secure its APIs across build and runtime.","Wed, 28 Apr 2021 14:37:00 GMT"
How Shift-Left Extremism is Harming your API Security Strategy,https://salt.security/blog/how-shift-left-extremism-is-harming-your-api-security-strategy,Establishing and gaining adoption of secure build pipeline approaches is a multi-year endeavor for organizations.,"Mon, 26 Apr 2021 20:14:00 GMT"
Building API Context With A New Tech Talk Video Series,https://salt.security/blog/building-api-context-with-a-new-tech-talk-video-series,"Today we’re kicking off a new tech talk video series called Building Context, where we’ll be covering a range of topics around APIs and API security.","Fri, 23 Apr 2021 17:00:00 GMT"
MythBusters API Edition: Zero Trust and its limitations for API Security,https://salt.security/blog/mythbusters-api-edition-zero-trust-and-its-limitations-for-api-security,"Zero trust principles and the technologies that have emerged inevitably promote dynamic access control that is informed by application context, identity, and behaviors.","Tue, 20 Apr 2021 19:50:00 GMT"
3 Reasons You Might Be Failing at API Security,https://salt.security/blog/3-reasons-you-might-be-failing-at-api-security,"As APIs have increased in prominence and as a target for attacks, organizations have become more aware of the need for proper security, but as with adopting any new technology, misconceptions persist about how to get it right.","Thu, 15 Apr 2021 16:55:00 GMT"
High-stakes API Security – Protecting Armis’ Security Platform,https://salt.security/blog/high-stakes-api-security-protecting-armis-security-platform,"Armis wanted an approach to API security that would cover the full lifecycle of APIs – both build and runtime. After researching options, the Armis team picked Salt.","Wed, 14 Apr 2021 12:00:00 GMT"
